Course Name,Course Code,difficulty,workload,rating,reviews
"AI, Ethics, and Society",CS 6603,1.7,5.9,2.6,49
Advanced Internet Computing Systems and Applications,CS 6675,3,13.2,2.8,5
Advanced Operating Systems,CS 6210,4.2,18.6,4.1,85
Advanced Topics in Malware Analysis,CS 6747,3.6,16.1,4.6,7
Advanced Topics in Software Analysis and Testing,CS 6340,3.2,12.8,3.5,136
Applied Analytics Practicum,MGT 6748,2.3,13.5,4.3,4
Applied Cryptography,CS 6260,3.7,16.6,3.5,39
Artificial Intelligence,CS 6601,4,22.7,4.1,236
Artificial Intelligence Techniques for Robotics,CS 7638,3.1,13.6,3.9,238
Big Data Analytics for Healthcare,CSE 6250,4.1,27.7,3.7,61
Business Fundamentals for Analytics,MGT 8803,3,8,2.4,83
Compilers: Theory and Practice,CS 8803 O08,4.7,29.9,3.9,16
"Computational Data Analysis: Learning, Mining, and Computation",ISYE 6740,3.6,14.6,4,35
Computational Journalism,CS 6465,3,15,4,1
Computational Photography,CS 6475,3.3,18,3.6,153
Computational Statistics,ISYE 6416,3,12,3,1
Computer Networks,CS 6250,2.5,9.7,3.5,326
Computing for Data Analysis: Methods and Tools,CSE 6040,3.1,10,4.3,110
Computing for Good,CS 6150,2,8.5,2.5,2
Cyber Physical Design and Analysis,CS 7639,3.2,12.1,3,32
Data Analytics and Continuous Improvement,MGT 8823,1.2,4,3.6,13
Data Analytics and Security,INTA 6450,1.4,3.4,3,20
Data Analytics in Business,MGT 6203,1.9,5.6,2.3,107
Data Mining and Statistical Learning,ISYE 7406,2.3,15,3.7,18
Data and Visual Analytics,CSE 6242,3.2,16.1,3,260
Database Systems Concepts and Design,CS 6400,2.8,11.3,2.6,230
Deep Learning,CS 7643,3.9,19.2,4,71
Deterministic Optimization,ISYE 6669,3.8,13.1,3.8,42
Digital Marketing,MGT 6311,1.3,3.4,4.4,25
Distributed Computing,CS 7210,4.6,61.9,2.9,31
Educational Technology: Conceptual Foundations,CS 6460,2.8,14.4,4,89
Embedded Software,CS 8803 O04,3.5,16.5,3.7,10
Embedded Software Optimizations,CS 6291,3.6,15.9,3.6,35
Financial Modeling,MGT 8813,1.3,4.5,3.1,15
Game Artificial Intelligence,CS 7632,2.6,11.5,4.7,16
Graduate Introduction to Operating Systems,CS 6200,3.6,17.9,4.4,257
High Performance Computing,CSE 6220,4.2,19.9,4.3,68
High-Dimensional Data Analytics,ISYE 8803,4.1,18.1,4.3,32
High-Performance Computer Architecture,CS 6290,3.6,15.9,3.8,88
Human-Computer Interaction,CS 6750,2.5,12.1,4.1,211
Information Policy and Management,PUBP 6501,2.5,10.4,2.8,8
Information Security Lab: System and Network Defenses,CS 6264,4,17.5,3.3,4
Information Security Laboratory,CS 6265,4.3,29.9,4.6,20
Information Security Policies and Strategies,PUBP 6725,1.9,6.5,3.5,17
Information and Communications Technology Policy,PUBP 6502,1.3,2.3,4.3,3
International Security,INTA 6103,2.3,2.9,3.3,7
Internet and Public Policy,PUBP 6111,1,3,4,1
Intro to Cyber-Physical Systems Security,CS 6263,2.6,9.9,3.4,74
Introduction to Analytics Modeling,ISYE 6501,2.8,9.7,4.2,150
Introduction to Cognitive Science,CS 6795,2.5,13.5,3.5,2
Introduction to Computer Vision,CS 6476,4,22,3.8,162
Introduction to Cyber Physical Electric Energy Systems,ECE 8803e,4,15,2,1
Introduction to Graduate Algorithms,CS 6515,4,19.3,3.6,270
Introduction to Health Informatics,CS 6440,2.3,11,2.6,83
Introduction to Information Security,CS 6035,2.6,10.5,3.4,398
Introduction to Theory and Practice of Bayesian Statistics,ISYE 6420,3.2,12.4,2.8,57
Knowledge-Based Artificial Intelligence: Cognitive Systems,CS 7637,3,14.3,3.7,216
Machine Learning,CS 7641,4.1,21.7,3.2,285
Machine Learning for Trading,CS 7646,2.6,11.4,4,339
Mobile and Ubiquitous Computing,CS 7470,3,8,3,2
"Modeling, Simulation, and Military Gaming",CSE 6742,1.8,6,3.8,4
Network Science: Methods and Applications,CS 7280,2.8,12.9,3.3,26
Network Security,CS 6262,3,12.9,3.2,126
Privacy for Professionals,MGT 6727,1.8,3.2,4.2,10
Probabilistic Models and Their Applications,ISYE 6650,2,5,4,1
Reinforcement Learning and Decision Making,CS 7642,4.1,22.6,3.9,182
Secure Computer Systems,CS 6238,3.4,14.7,3,29
Security Operations and Incidence Response,CS 8803 OC1,2,5.4,4.1,7
Side-Channels and Their Role in Cybersecurity,ECE 8843,3,10,5,1
Simulation and Modeling for Engineering and Science,ISYE 6644,3.2,11.1,4.2,100
Software Architecture and Design,CS 6310,2.3,10.2,3.1,156
Software Development Process,CS 6300,2.3,9.3,3.6,233
Statistical Modeling and Regression Analysis,ISYE 6414,2.8,8.9,3.3,90
Systems Issues in Cloud Computing,CS 8803 O12,4.4,30.6,4.7,9
Time Series Analysis,ISYE 6402,4.3,15.5,1.8,32
Video Game Design and Programming,CS 6457,2.2,13.2,4.3,13
